Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainTomorrow,idnumber,Results
06-03-20,Hydrabad,7.6,24.0,0.0,,,WSW,30.0,WNW,0.0,52.0,1014.5,,12.6,Yes,RFRNO7483,1
07-03-20,Hydrabad,8.3,27.9,0.0,,,W,37.0,W,4.0,58.0,1015.2,,13.3,Yes,RFRNO60796,1
08-03-20,Hydrabad,11.0,30.2,0.0,,,SSE,24.0,SSE,7.0,54.0,1017.0,,17.6,Yes,RFRNO17615,1
09-03-20,Hydrabad,13.8,31.8,0.0,,,NNE,24.0,NE,6.0,49.0,1019.7,,18.6,Yes,RFRNO43644,1
10-03-20,Hydrabad,15.5,32.0,0.0,,,NE,50.0,E,2.0,51.0,1019.5,,20.1,No,RFRNO2328,0
11-03-20,Hydrabad,18.4,30.5,1.2,,,NE,44.0,N,15.0,57.0,1021.3,,21.5,No,RFRNO18973,0
12-03-20,Hydrabad,20.9,25.7,0.0,,,W,37.0,S,11.0,52.0,1019.5,,22.2,Yes,RFRNO36699,1
13-03-20,Hydrabad,17.1,25.8,5.8,,,ENE,31.0,S,0.0,82.0,1017.4,8.0,19.0,No,RFRNO37232,0
14-03-20,Hydrabad,16.4,27.0,3.0,,,SW,69.0,N,9.0,82.0,1012.7,,19.9,Yes,RFRNO54431,1
15-03-20,Hydrabad,10.0,19.7,11.6,,,WNW,39.0,NW,11.0,62.0,1013.4,,12.7,Yes,RFRNO73702,1
16-03-20,Hydrabad,8.8,21.9,0.0,,,W,39.0,WNW,2.0,78.0,1013.3,,12.2,Yes,RFRNO16630,1
17-03-20,Hydrabad,8.4,25.3,0.0,,,WNW,35.0,WSW,9.0,78.0,1015.6,,12.1,Yes,RFRNO1032,1
18-03-20,Hydrabad,9.3,28.0,0.0,,,NW,52.0,NW,6.0,76.0,1017.4,,14.7,No,RFRNO38997,0
19-03-20,Hydrabad,11.3,30.1,0.0,,,WSW,24.0,SW,6.0,56.0,1016.3,,14.7,No,RFRNO11594,0
20-03-20,Hydrabad,11.5,33.5,0.0,,,SSE,22.0,N,7.0,50.0,1016.5,,17.4,Yes,RFRNO3276,1
21-03-20,Hydrabad,13.8,33.6,0.0,,,NNW,28.0,NNE,0.0,47.0,1017.0,,18.8,Yes,RFRNO42490,1
22-03-20,Hydrabad,14.6,30.0,0.0,,,NE,37.0,NNE,4.0,56.0,1014.8,3.0,18.1,Yes,RFRNO2856,1
23-03-20,Hydrabad,14.4,31.6,0.0,,,NW,37.0,WNW,0.0,63.0,1013.7,,18.8,Yes,RFRNO18467,1
24-03-20,Hydrabad,10.8,31.9,0.0,,,S,48.0,WNW,6.0,62.0,1016.5,,15.4,Yes,RFRNO38526,1
25-03-20,Hydrabad,15.4,22.3,0.4,,,ENE,30.0,SSE,11.0,69.0,1017.4,8.0,18.3,No,RFRNO28900,0
26-03-20,Hydrabad,13.3,29.8,1.8,,,WSW,33.0,WNW,0.0,87.0,1019.1,,16.2,No,RFRNO21708,0
27-03-20,Hydrabad,10.1,27.6,0.0,,,WNW,43.0,W,0.0,63.0,1023.0,,16.5,Yes,RFRNO43897,1
28-03-20,Hydrabad,9.1,28.9,0.0,,,NNW,24.0,N,2.0,60.0,1023.8,,14.0,Yes,RFRNO39925,1
29-03-20,Hydrabad,10.4,31.2,0.0,,,S,22.0,SE,0.0,60.0,1022.4,,16.0,Yes,RFRNO18497,1
14-05-20,Bangalore,2.6,20.3,0.0,,,SW,46.0,W,11.0,73.0,1012.6,,12.7,Yes,36443,1
15-05-20,Bangalore,4.4,21.0,0.0,,,WSW,50.0,WSW,9.0,66.0,1013.0,,15.2,No,65454,0
16-05-20,Bangalore,12.2,22.0,0.0,,,W,72.0,WSW,24.0,59.0,1010.9,,17.8,Yes,5002,1
17-05-20,Bangalore,2.8,20.9,0.0,,,ESE,24.0,SSE,0.0,80.0,1018.9,,10.6,Yes,22222,1
18-05-20,Bangalore,5.7,20.9,0.0,,,NE,28.0,NNE,9.0,75.0,1026.0,,13.3,Yes,48691,1
19-05-20,Bangalore,11.4,21.4,1.0,,,ESE,30.0,E,4.0,99.0,1024.7,,14.2,Yes,673,1
20-05-20,Bangalore,12.9,19.2,17.2,,,SSE,50.0,S,13.0,99.0,1022.7,,14.5,No,62756,0
21-05-20,Bangalore,12.8,19.0,46.4,,,ESE,48.0,SE,17.0,84.0,1024.4,,16.5,Yes,61465,1
22-05-20,Bangalore,13.7,18.6,5.0,,,ESE,48.0,ESE,19.0,72.0,1023.9,,17.0,Yes,21716,1
23-05-20,Bangalore,14.2,20.6,15.8,,,ESE,39.0,ESE,11.0,86.0,1024.2,,17.6,No,37790,0
24-05-20,Bangalore,12.6,21.1,1.6,,,ESE,26.0,ESE,7.0,85.0,1027.0,,16.8,Yes,74378,1
25-05-20,Bangalore,9.5,19.3,0.2,,,NW,20.0,NW,7.0,94.0,1026.4,,14.0,No,56397,0
26-05-20,Bangalore,7.6,21.8,0.0,,,NE,17.0,N,0.0,99.0,1022.4,,12.5,Yes,7662,1
27-05-20,Bangalore,10.1,15.6,0.0,,,W,17.0,SW,0.0,99.0,1020.7,,13.2,No,49085,0
28-05-20,Bangalore,9.0,17.9,14.2,,,SE,26.0,SE,13.0,99.0,1021.7,,13.8,Yes,27977,1
29-05-20,Bangalore,8.3,17.4,0.0,,,S,39.0,SSW,17.0,70.0,1023.8,,11.5,Yes,59371,1
30-05-20,Bangalore,8.0,17.8,0.0,,,S,41.0,SW,22.0,70.0,1028.6,,13.5,Yes,58979,1
31-05-20,Bangalore,9.8,19.0,11.4,,,ESE,30.0,NNE,13.0,98.0,1034.0,,12.7,No,39321,0
01-06-20,Bangalore,10.1,16.3,0.4,,,SSE,15.0,,7.0,91.0,1033.2,,11.7,No,9235,0
02-06-20,Bangalore,10.5,18.7,0.0,,,SSW,15.0,,9.0,91.0,1030.2,,13.6,No,55498,0
03-06-20,Bangalore,12.3,19.0,8.6,,,N,17.0,N,0.0,99.0,1026.0,,14.5,Yes,27702,1
04-06-20,Bangalore,8.5,17.6,0.2,,,ENE,15.0,ENE,0.0,99.0,1021.0,,11.3,Yes,2902,1
05-06-20,Bangalore,10.2,19.5,0.0,,,WSW,26.0,WSW,11.0,99.0,1015.4,,13.8,No,11415,0
06-06-20,Bangalore,3.4,18.8,0.2,,,W,28.0,NNW,0.0,92.0,1014.2,,10.2,Yes,44095,1
07-06-20,Bangalore,7.0,19.0,1.2,,,W,41.0,WSW,11.0,99.0,1008.3,,9.5,Yes,65485,1
08-06-20,Bangalore,4.1,18.8,0.0,,,WNW,41.0,W,6.0,83.0,1009.7,,11.5,Yes,1860,1
09-06-20,Bangalore,4.3,16.8,0.0,,,NW,39.0,W,9.0,70.0,1011.8,,11.4,No,9733,0
10-06-20,Bangalore,7.4,13.4,0.0,,,W,56.0,W,28.0,46.0,1012.4,,9.6,Yes,68958,1
11-06-20,Bangalore,0.0,15.3,0.0,,,,,SW,11.0,53.0,1021.4,,8.2,No,36695,0
12-06-20,Bangalore,,16.9,,,,SW,22.0,N,0.0,72.0,1024.4,,8.3,Yes,26519,1
13-06-20,Bangalore,1.9,17.0,0.0,,,NNE,17.0,N,0.0,99.0,1017.7,,6.0,Yes,64721,1
14-06-20,Bangalore,4.2,13.3,0.0,,,SE,19.0,ESE,6.0,99.0,1014.7,,7.0,Yes,33933,1
15-06-20,Bangalore,2.1,19.5,0.2,,,SW,26.0,SW,0.0,99.0,1013.1,,9.6,Yes,33297,1
16-06-20,Bangalore,3.8,17.4,0.0,,,SSW,54.0,SSW,28.0,72.0,1018.7,,13.3,Yes,70637,1
17-06-20,Bangalore,8.8,16.6,0.0,,,SW,26.0,S,15.0,73.0,1028.0,,12.4,No,24879,0
18-06-20,Bangalore,7.3,16.4,0.6,,,SE,24.0,ESE,13.0,86.0,1030.0,,12.8,Yes,58361,1
19-06-20,Bangalore,8.0,18.5,2.8,,,ESE,31.0,ESE,15.0,89.0,1030.5,,12.2,Yes,24991,1
20-06-20,Bangalore,7.8,16.4,1.4,,,N,20.0,ESE,9.0,99.0,1028.1,,11.6,Yes,54680,1
21-06-20,Bangalore,10.0,16.6,1.4,,,NNE,15.0,NNE,0.0,100.0,1024.1,,12.3,Yes,76339,1
22-06-20,Bangalore,,19.3,,,,NE,15.0,ENE,6.0,100.0,1020.4,,13.5,Yes,46635,1
23-06-20,Bangalore,4.5,19.8,0.0,,,NNE,15.0,,0.0,100.0,1020.2,,9.2,Yes,32379,1
24-06-20,Bangalore,1.6,17.1,0.2,,,N,26.0,N,15.0,100.0,1016.4,,6.6,Yes,77234,1
25-06-20,Bangalore,2.6,16.0,0.6,,,W,24.0,W,0.0,100.0,1014.8,,6.0,Yes,49740,1
26-06-20,Bangalore,4.0,18.3,0.0,,,N,19.0,ESE,7.0,90.0,1012.8,,10.0,Yes,56771,1
27-06-20,Bangalore,5.8,15.8,0.2,,,WSW,13.0,,9.0,97.0,1008.3,,9.7,Yes,35482,1
28-06-20,Bangalore,8.1,18.9,0.0,,,SW,17.0,NNW,0.0,100.0,1006.4,,11.2,Yes,65124,1
29-06-20,Bangalore,3.7,20.6,0.0,,,WNW,22.0,WNW,0.0,89.0,1012.2,,9.7,Yes,18499,1
30-06-20,Bangalore,7.6,18.1,0.0,,,NNE,35.0,NNE,0.0,99.0,1013.2,,8.4,Yes,47503,1
01-07-20,Bangalore,8.4,20.4,0.0,,,N,48.0,WNW,13.0,55.0,1006.3,,18.1,Yes,41090,1
02-07-20,Bangalore,5.0,18.2,0.0,,,WNW,46.0,W,4.0,52.0,1007.4,,15.1,Yes,70244,1
03-07-20,Bangalore,7.5,15.3,0.0,,,WSW,67.0,WSW,37.0,53.0,1004.4,,12.1,Yes,26162,1
04-07-20,Bangalore,4.1,16.5,0.0,,,W,41.0,WSW,0.0,57.0,1012.6,,11.2,Yes,25748,1
26-05-12,Bangalore,3.1,17.0,0.0,,,WSW,54.0,WSW,15.0,50.0,1014.6,,12.3,No,11348,0
27-05-12,Bangalore,3.7,18.1,0.0,,,SSW,30.0,SSW,4.0,82.0,1020.6,,12.0,Yes,15064,1
28-05-12,Bangalore,6.1,18.4,0.0,,,S,22.0,SE,11.0,78.0,1027.0,,12.3,No,73622,0
29-05-12,Bangalore,8.4,18.4,0.0,,,SSW,22.0,ESE,13.0,79.0,1031.9,,13.4,No,8367,0
30-05-12,Bangalore,6.6,19.3,0.0,,,SSW,20.0,WSW,11.0,91.0,1035.6,,12.2,No,45374,0
31-05-12,Bangalore,7.7,20.1,0.0,,,SW,19.0,NNE,4.0,73.0,1034.0,,13.1,No,67634,0
01-06-12,Bangalore,9.0,18.3,0.0,,,NNE,13.0,NNE,4.0,100.0,1029.6,,11.8,Yes,29490,1
02-06-12,Bangalore,11.7,16.8,0.6,,,ENE,13.0,ESE,7.0,100.0,1022.8,,13.5,Yes,12860,1
03-06-12,Bangalore,12.7,15.3,16.0,,,WSW,15.0,SE,6.0,100.0,1014.9,,13.4,Yes,29449,1
04-06-12,Bangalore,9.3,19.5,0.2,,,WSW,30.0,W,6.0,100.0,1004.6,,13.9,No,32973,0
05-06-12,Bangalore,5.6,14.2,0.0,,,SSW,52.0,WSW,2.0,82.0,1000.9,,10.1,No,4949,0
06-06-12,Bangalore,9.3,13.7,13.2,,,SSW,39.0,SSW,19.0,80.0,1017.3,,11.9,Yes,29750,1
07-06-12,Bangalore,6.1,16.9,0.2,,,SW,26.0,S,13.0,72.0,1023.7,,11.2,Yes,33622,1
08-06-12,Bangalore,1.3,16.9,0.2,,,SW,15.0,WNW,2.0,91.0,1026.4,,7.6,Yes,34648,1
09-06-12,Bangalore,1.8,17.2,0.0,,,WSW,17.0,E,4.0,93.0,1027.0,,7.3,No,24591,0
10-06-12,Bangalore,4.8,15.8,0.2,,,WSW,20.0,W,11.0,87.0,1026.3,,10.1,Yes,70279,1
11-06-12,Bangalore,10.0,13.2,11.6,,,SSW,20.0,SW,11.0,97.0,1023.2,,11.1,Yes,65435,1
12-06-12,Bangalore,10.3,18.4,30.8,,,SE,35.0,SSE,7.0,91.0,1021.4,,13.2,No,32284,0
13-06-12,Bangalore,9.3,17.3,4.6,,,SW,24.0,ESE,13.0,85.0,1021.5,,13.2,Yes,54666,1
14-06-12,Bangalore,8.5,18.2,0.8,,,NNE,20.0,NE,4.0,100.0,1019.7,,11.7,Yes,65,1
15-06-12,Bangalore,6.7,20.4,0.0,,,NNE,15.0,NE,4.0,100.0,1016.9,,10.0,No,71270,0
16-06-12,Bangalore,5.8,11.9,0.2,,,WNW,20.0,S,4.0,99.0,1018.0,,9.1,No,26311,0
17-06-12,Bangalore,4.9,17.2,6.8,,,W,52.0,W,9.0,79.0,1019.0,,11.1,Yes,55537,1
18-06-12,Bangalore,2.8,17.8,0.0,,,WSW,24.0,WSW,6.0,83.0,1022.4,,10.2,No,41421,0
19-06-12,Bangalore,2.2,18.4,0.0,,,W,46.0,WSW,4.0,85.0,1020.2,,9.0,No,45416,0
20-06-12,Bangalore,1.4,15.8,0.0,,,N,13.0,NNE,4.0,99.0,1023.0,,6.5,No,18401,0
21-06-12,Bangalore,0.3,17.4,0.0,,,NNE,26.0,NNE,0.0,99.0,1016.5,,4.4,Yes,8529,1
22-06-12,Bangalore,4.3,16.2,0.0,,,WNW,57.0,NW,19.0,50.0,1006.7,,15.9,Yes,72394,1
23-06-12,Bangalore,2.2,16.1,0.0,,,WSW,30.0,SW,2.0,80.0,1022.2,,9.2,No,52481,0
24-06-12,Bangalore,0.4,17.4,0.0,,,W,28.0,SSW,4.0,84.0,1028.7,,6.2,Yes,13751,1
25-06-12,Bangalore,-0.3,18.8,0.0,,,SW,31.0,WSW,2.0,92.0,1028.0,,7.2,Yes,66535,1
26-06-12,Bangalore,4.4,13.3,0.0,,,SSW,20.0,SSW,7.0,90.0,1031.2,,10.4,Yes,72408,1
27-06-12,Bangalore,6.4,16.1,0.8,,,ESE,17.0,ESE,9.0,89.0,1032.2,,11.2,Yes,68338,1
28-06-12,Bangalore,5.6,17.4,0.0,,,S,15.0,,9.0,94.0,1026.4,,9.5,Yes,18746,1
29-06-12,Bangalore,7.6,19.8,0.0,,,NE,13.0,N,0.0,100.0,1016.0,,11.0,No,72968,0
30-06-12,Bangalore,2.3,18.7,0.0,,,WSW,22.0,WNW,0.0,100.0,1014.0,,8.0,Yes,9305,1
01-07-12,Bangalore,2.8,15.6,0.0,,,W,41.0,WSW,0.0,96.0,1016.3,,7.2,Yes,63294,1
