Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainTomorrow,idnumber
08-01-20,Hydrabad,14,28.3,0,NA,NA,W,48,WSW,17,43,1011.9,NA,17.9,Yes,RFRNO57825
09-01-20,Hydrabad,12.5,28.4,0,NA,NA,NE,37,S,20,38,1017.8,NA,17.2,No,RFRNO54389
10-01-20,Hydrabad,17,30.8,0,NA,NA,NE,37,E,15,36,1013.4,NA,20.2,No,RFRNO1229
11-01-20,Hydrabad,16.9,32,0,NA,NA,S,31,N,13,52,1009.9,NA,22.8,Yes,RFRNO725
12-01-20,Hydrabad,17.3,34.7,0,NA,NA,SW,35,WSW,7,48,1014.1,NA,24.2,Yes,RFRNO4223
13-01-20,Hydrabad,17.2,37.7,0,NA,NA,NNW,35,NW,7,51,1015.7,NA,24.3,Yes,RFRNO58754
14-01-20,Hydrabad,17.4,43,0,NA,NA,NW,39,SSW,7,40,1011.6,NA,25.6,Yes,RFRNO34455
15-01-20,Hydrabad,19.8,32.7,0,NA,NA,WNW,44,W,20,34,1008.4,NA,27.6,Yes,RFRNO59543
16-01-20,Hydrabad,14.9,26.7,0,NA,NA,SW,56,SW,20,46,1014.1,NA,18,Yes,RFRNO6529
17-01-20,Hydrabad,10.5,28.4,0,NA,NA,SE,33,SW,19,35,1019.7,NA,16,Yes,RFRNO40700
18-01-20,Hydrabad,11.3,32.2,0,NA,NA,WNW,28,SSW,17,34,1019.7,NA,20.9,Yes,RFRNO12357
19-01-20,Hydrabad,13.9,36.6,0,NA,NA,WNW,39,NNE,2,39,1015.8,NA,22,No,RFRNO76970
20-01-20,Hydrabad,18.6,39.9,0,NA,NA,NNW,61,WNW,9,36,1010.1,NA,26.8,Yes,RFRNO36232
21-01-20,Hydrabad,19.3,38.1,0.8,NA,NA,NNW,61,WSW,15,48,1009.6,NA,27.3,Yes,RFRNO37598
22-01-20,Hydrabad,24.4,34,0.6,NA,NA,NW,98,NNW,26,60,1005.3,4,26.1,Yes,RFRNO33211
23-01-20,Hydrabad,18.8,35.2,6.4,NA,NA,WNW,52,NW,6,43,1007.9,NA,22.8,No,RFRNO69789
24-01-20,Hydrabad,20.8,30.6,0,NA,NA,W,54,W,30,41,1005.4,NA,23.3,Yes,RFRNO37078
25-01-20,Hydrabad,14,34.3,0,NA,NA,WSW,24,SSE,7,44,1016.5,NA,21.2,Yes,RFRNO7277
26-01-20,Hydrabad,15.7,38.4,0,NA,NA,S,33,WSW,7,48,1017.7,NA,23.4,Yes,RFRNO7225
27-01-20,Hydrabad,18.5,38.2,0,NA,NA,NNE,31,NNW,9,48,1017.8,NA,25.8,Yes,RFRNO13514
28-01-20,Hydrabad,20.4,40.7,0,NA,NA,N,37,NNE,7,45,1014.9,NA,28.2,No,RFRNO4248
29-01-20,Hydrabad,21.8,41.5,0,NA,NA,SW,24,S,6,38,1015.7,NA,29,Yes,RFRNO33998
30-01-20,Hydrabad,22.3,42.9,0,NA,NA,NNE,28,SE,9,37,1014.6,NA,29.2,Yes,RFRNO38511
31-01-20,Hydrabad,22,42.7,0,NA,NA,ESE,48,SW,4,33,1014.2,NA,29.9,No,RFRNO64204
01-02-20,Hydrabad,28,43.1,0,NA,NA,SW,83,E,15,27,1012.5,NA,32.4,Yes,RFRNO12893
02-02-20,Hydrabad,24.4,38.3,0.2,NA,NA,SW,56,NW,19,32,1011.7,NA,28.8,Yes,RFRNO29621
03-02-20,Hydrabad,21.5,37.7,0,NA,NA,NA,NA,NA,13,51,1009.2,NA,27.2,No,RFRNO57676
04-02-20,Hydrabad,21.7,36.9,0,NA,NA,NA,NA,NA,11,53,1008.8,NA,25.5,No,RFRNO61380
05-02-20,Hydrabad,21.5,41.2,0,NA,NA,WSW,35,S,7,48,1005.9,NA,26.5,No,RFRNO32780
06-02-20,Hydrabad,23.5,42.2,0,NA,NA,W,37,W,6,39,1008,NA,28.7,Yes,RFRNO32005
07-02-20,Hydrabad,22.3,44.8,0,NA,NA,NNW,59,NW,9,36,1008.2,NA,29.6,Yes,RFRNO50449
08-02-20,Hydrabad,28.3,40.2,0,NA,NA,NW,52,W,9,20,1007,NA,34.5,Yes,RFRNO32861
09-02-20,Hydrabad,18.4,31.2,0.4,NA,NA,SE,37,WSW,7,66,1009.3,7,18.7,Yes,RFRNO55897
10-02-20,Hydrabad,14.9,27.3,0,NA,NA,SSE,41,SE,20,50,1011.6,NA,17.4,Yes,RFRNO36312
11-02-20,Hydrabad,13.5,26.7,0,NA,NA,SSE,46,E,19,45,1012.8,NA,16.7,Yes,RFRNO34295
12-02-20,Hydrabad,16.1,21.6,0,NA,NA,SE,46,NE,11,58,1017,2,17,Yes,RFRNO64280
13-02-20,Hydrabad,14.6,29,3,NA,NA,SSE,41,SSE,26,41,1023.3,NA,18,Yes,RFRNO10411
14-02-20,Hydrabad,12.4,29.2,0,NA,NA,NE,39,NA,7,37,1022.5,NA,18.3,Yes,RFRNO9614
15-02-20,Hydrabad,13.3,31.3,0,NA,NA,NNE,41,SSW,7,50,1016.2,NA,19.2,Yes,RFRNO75846
16-02-20,Hydrabad,17.2,31.1,0,NA,NA,E,35,ESE,17,43,1017.7,NA,21.4,Yes,RFRNO62860
17-02-20,Hydrabad,12.5,28.8,0,NA,NA,N,31,ENE,7,46,1017.2,NA,18,No,RFRNO69926
18-02-20,Hydrabad,18,32,0,NA,NA,NW,31,SW,4,44,1012.4,NA,22.1,Yes,RFRNO13623
19-02-20,Hydrabad,16.2,34,0,NA,NA,WSW,48,WSW,4,53,1007.8,NA,21,Yes,RFRNO28158
20-02-20,Hydrabad,18.7,29.1,0,NA,NA,SSW,41,SSE,7,45,1010.1,NA,21.5,No,RFRNO38765
21-02-20,Hydrabad,13.7,31.7,0,NA,NA,SSE,28,S,2,63,1012.5,NA,19.3,Yes,RFRNO7609
22-02-20,Hydrabad,15.5,33.2,0,NA,NA,NW,31,WNW,11,49,1015.6,NA,20.9,Yes,RFRNO24249
23-02-20,Hydrabad,14.3,34,0,NA,NA,NW,70,NW,6,48,1013,NA,20.7,No,RFRNO3480
24-02-20,Hydrabad,12.9,29.6,0,NA,NA,WNW,46,WNW,7,54,1014,6,18.7,No,RFRNO14475
25-02-20,Hydrabad,8.9,31.9,0,NA,NA,WNW,43,WSW,0,49,1016.6,7,15,No,RFRNO51354
26-02-20,Hydrabad,15,32.7,0,NA,NA,ESE,26,S,15,43,1017.8,NA,20.7,Yes,RFRNO49248
27-02-20,Hydrabad,15.4,32.6,0,NA,NA,W,24,S,0,53,1016.2,NA,20,Yes,RFRNO34569
28-02-20,Hydrabad,16,34.5,0,NA,NA,WSW,44,NA,6,44,1007.5,NA,22.2,No,RFRNO61354
01-03-20,Hydrabad,12.8,30.3,0,NA,NA,W,30,WSW,4,53,1010.5,NA,17.3,Yes,RFRNO48986
02-03-20,Hydrabad,13.2,31.9,0,NA,NA,NNW,35,ENE,6,53,1014.1,NA,18,No,RFRNO62915
03-03-20,Hydrabad,18,31.1,0,NA,NA,WNW,52,NNE,15,58,1014.7,5,23,No,RFRNO7547
04-03-20,Hydrabad,13.8,22.1,0.2,NA,NA,WNW,57,WNW,26,57,1014.5,NA,15.6,No,RFRNO24830
05-03-20,Hydrabad,11.5,22,0,NA,NA,SW,50,W,19,60,1013.7,NA,13.9,Yes,RFRNO69931
06-03-20,Hydrabad,7.6,24,0,NA,NA,WSW,30,WNW,0,52,1014.5,NA,12.6,Yes,RFRNO7483
07-03-20,Hydrabad,8.3,27.9,0,NA,NA,W,37,W,4,58,1015.2,NA,13.3,Yes,RFRNO60796
08-03-20,Hydrabad,11,30.2,0,NA,NA,SSE,24,SSE,7,54,1017,NA,17.6,Yes,RFRNO17615
09-03-20,Hydrabad,13.8,31.8,0,NA,NA,NNE,24,NE,6,49,1019.7,NA,18.6,Yes,RFRNO43644
10-03-20,Hydrabad,15.5,32,0,NA,NA,NE,50,E,2,51,1019.5,NA,20.1,No,RFRNO2328
11-03-20,Hydrabad,18.4,30.5,1.2,NA,NA,NE,44,N,15,57,1021.3,NA,21.5,No,RFRNO18973
12-03-20,Hydrabad,20.9,25.7,0,NA,NA,W,37,S,11,52,1019.5,NA,22.2,Yes,RFRNO36699
13-03-20,Hydrabad,17.1,25.8,5.8,NA,NA,ENE,31,S,0,82,1017.4,8,19,No,RFRNO37232
14-03-20,Hydrabad,16.4,27,3,NA,NA,SW,69,N,9,82,1012.7,NA,19.9,Yes,RFRNO54431
15-03-20,Hydrabad,10,19.7,11.6,NA,NA,WNW,39,NW,11,62,1013.4,NA,12.7,Yes,RFRNO73702
16-03-20,Hydrabad,8.8,21.9,0,NA,NA,W,39,WNW,2,78,1013.3,NA,12.2,Yes,RFRNO16630
17-03-20,Hydrabad,8.4,25.3,0,NA,NA,WNW,35,WSW,9,78,1015.6,NA,12.1,Yes,RFRNO1032
18-03-20,Hydrabad,9.3,28,0,NA,NA,NW,52,NW,6,76,1017.4,NA,14.7,No,RFRNO38997
19-03-20,Hydrabad,11.3,30.1,0,NA,NA,WSW,24,SW,6,56,1016.3,NA,14.7,No,RFRNO11594
20-03-20,Hydrabad,11.5,33.5,0,NA,NA,SSE,22,N,7,50,1016.5,NA,17.4,Yes,RFRNO3276
21-03-20,Hydrabad,13.8,33.6,0,NA,NA,NNW,28,NNE,0,47,1017,NA,18.8,Yes,RFRNO42490
22-03-20,Hydrabad,14.6,30,0,NA,NA,NE,37,NNE,4,56,1014.8,3,18.1,Yes,RFRNO2856
23-03-20,Hydrabad,14.4,31.6,0,NA,NA,NW,37,WNW,0,63,1013.7,NA,18.8,Yes,RFRNO18467
24-03-20,Hydrabad,10.8,31.9,0,NA,NA,S,48,WNW,6,62,1016.5,NA,15.4,Yes,RFRNO38526
25-03-20,Hydrabad,15.4,22.3,0.4,NA,NA,ENE,30,SSE,11,69,1017.4,8,18.3,No,RFRNO28900
26-03-20,Hydrabad,13.3,29.8,1.8,NA,NA,WSW,33,WNW,0,87,1019.1,NA,16.2,No,RFRNO21708
27-03-20,Hydrabad,10.1,27.6,0,NA,NA,WNW,43,W,0,63,1023,NA,16.5,Yes,RFRNO43897
28-03-20,Hydrabad,9.1,28.9,0,NA,NA,NNW,24,N,2,60,1023.8,NA,14,Yes,RFRNO39925
29-03-20,Hydrabad,10.4,31.2,0,NA,NA,S,22,SE,0,60,1022.4,NA,16,Yes,RFRNO18497
14-05-20,Bangalore,2.6,20.3,0,NA,NA,SW,46,W,11,73,1012.6,NA,12.7,Yes,36443
15-05-20,Bangalore,4.4,21,0,NA,NA,WSW,50,WSW,9,66,1013,NA,15.2,No,65454
16-05-20,Bangalore,12.2,22,0,NA,NA,W,72,WSW,24,59,1010.9,NA,17.8,Yes,5002
17-05-20,Bangalore,2.8,20.9,0,NA,NA,ESE,24,SSE,0,80,1018.9,NA,10.6,Yes,22222
18-05-20,Bangalore,5.7,20.9,0,NA,NA,NE,28,NNE,9,75,1026,NA,13.3,Yes,48691
19-05-20,Bangalore,11.4,21.4,1,NA,NA,ESE,30,E,4,99,1024.7,NA,14.2,Yes,673
20-05-20,Bangalore,12.9,19.2,17.2,NA,NA,SSE,50,S,13,99,1022.7,NA,14.5,No,62756
21-05-20,Bangalore,12.8,19,46.4,NA,NA,ESE,48,SE,17,84,1024.4,NA,16.5,Yes,61465
22-05-20,Bangalore,13.7,18.6,5,NA,NA,ESE,48,ESE,19,72,1023.9,NA,17,Yes,21716
23-05-20,Bangalore,14.2,20.6,15.8,NA,NA,ESE,39,ESE,11,86,1024.2,NA,17.6,No,37790
24-05-20,Bangalore,12.6,21.1,1.6,NA,NA,ESE,26,ESE,7,85,1027,NA,16.8,Yes,74378
25-05-20,Bangalore,9.5,19.3,0.2,NA,NA,NW,20,NW,7,94,1026.4,NA,14,No,56397
26-05-20,Bangalore,7.6,21.8,0,NA,NA,NE,17,N,0,99,1022.4,NA,12.5,Yes,7662
27-05-20,Bangalore,10.1,15.6,0,NA,NA,W,17,SW,0,99,1020.7,NA,13.2,No,49085
28-05-20,Bangalore,9,17.9,14.2,NA,NA,SE,26,SE,13,99,1021.7,NA,13.8,Yes,27977
29-05-20,Bangalore,8.3,17.4,0,NA,NA,S,39,SSW,17,70,1023.8,NA,11.5,Yes,59371
30-05-20,Bangalore,8,17.8,0,NA,NA,S,41,SW,22,70,1028.6,NA,13.5,Yes,58979
31-05-20,Bangalore,9.8,19,11.4,NA,NA,ESE,30,NNE,13,98,1034,NA,12.7,No,39321
01-06-20,Bangalore,10.1,16.3,0.4,NA,NA,SSE,15,NA,7,91,1033.2,NA,11.7,No,9235
02-06-20,Bangalore,10.5,18.7,0,NA,NA,SSW,15,NA,9,91,1030.2,NA,13.6,No,55498
03-06-20,Bangalore,12.3,19,8.6,NA,NA,N,17,N,0,99,1026,NA,14.5,Yes,27702
04-06-20,Bangalore,8.5,17.6,0.2,NA,NA,ENE,15,ENE,0,99,1021,NA,11.3,Yes,2902
05-06-20,Bangalore,10.2,19.5,0,NA,NA,WSW,26,WSW,11,99,1015.4,NA,13.8,No,11415
06-06-20,Bangalore,3.4,18.8,0.2,NA,NA,W,28,NNW,0,92,1014.2,NA,10.2,Yes,44095
07-06-20,Bangalore,7,19,1.2,NA,NA,W,41,WSW,11,99,1008.3,NA,9.5,Yes,65485
08-06-20,Bangalore,4.1,18.8,0,NA,NA,WNW,41,W,6,83,1009.7,NA,11.5,Yes,1860
09-06-20,Bangalore,4.3,16.8,0,NA,NA,NW,39,W,9,70,1011.8,NA,11.4,No,9733
10-06-20,Bangalore,7.4,13.4,0,NA,NA,W,56,W,28,46,1012.4,NA,9.6,Yes,68958
11-06-20,Bangalore,0,15.3,0,NA,NA,NA,NA,SW,11,53,1021.4,NA,8.2,No,36695
12-06-20,Bangalore,NA,16.9,NA,NA,NA,SW,22,N,0,72,1024.4,NA,8.3,Yes,26519
13-06-20,Bangalore,1.9,17,0,NA,NA,NNE,17,N,0,99,1017.7,NA,6,Yes,64721
14-06-20,Bangalore,4.2,13.3,0,NA,NA,SE,19,ESE,6,99,1014.7,NA,7,Yes,33933
15-06-20,Bangalore,2.1,19.5,0.2,NA,NA,SW,26,SW,0,99,1013.1,NA,9.6,Yes,33297
16-06-20,Bangalore,3.8,17.4,0,NA,NA,SSW,54,SSW,28,72,1018.7,NA,13.3,Yes,70637
17-06-20,Bangalore,8.8,16.6,0,NA,NA,SW,26,S,15,73,1028,NA,12.4,No,24879
18-06-20,Bangalore,7.3,16.4,0.6,NA,NA,SE,24,ESE,13,86,1030,NA,12.8,Yes,58361
19-06-20,Bangalore,8,18.5,2.8,NA,NA,ESE,31,ESE,15,89,1030.5,NA,12.2,Yes,24991
20-06-20,Bangalore,7.8,16.4,1.4,NA,NA,N,20,ESE,9,99,1028.1,NA,11.6,Yes,54680
21-06-20,Bangalore,10,16.6,1.4,NA,NA,NNE,15,NNE,0,100,1024.1,NA,12.3,Yes,76339
22-06-20,Bangalore,NA,19.3,NA,NA,NA,NE,15,ENE,6,100,1020.4,NA,13.5,Yes,46635
23-06-20,Bangalore,4.5,19.8,0,NA,NA,NNE,15,NA,0,100,1020.2,NA,9.2,Yes,32379
24-06-20,Bangalore,1.6,17.1,0.2,NA,NA,N,26,N,15,100,1016.4,NA,6.6,Yes,77234
25-06-20,Bangalore,2.6,16,0.6,NA,NA,W,24,W,0,100,1014.8,NA,6,Yes,49740
26-06-20,Bangalore,4,18.3,0,NA,NA,N,19,ESE,7,90,1012.8,NA,10,Yes,56771
27-06-20,Bangalore,5.8,15.8,0.2,NA,NA,WSW,13,NA,9,97,1008.3,NA,9.7,Yes,35482
28-06-20,Bangalore,8.1,18.9,0,NA,NA,SW,17,NNW,0,100,1006.4,NA,11.2,Yes,65124
29-06-20,Bangalore,3.7,20.6,0,NA,NA,WNW,22,WNW,0,89,1012.2,NA,9.7,Yes,18499
30-06-20,Bangalore,7.6,18.1,0,NA,NA,NNE,35,NNE,0,99,1013.2,NA,8.4,Yes,47503
01-07-20,Bangalore,8.4,20.4,0,NA,NA,N,48,WNW,13,55,1006.3,NA,18.1,Yes,41090
02-07-20,Bangalore,5,18.2,0,NA,NA,WNW,46,W,4,52,1007.4,NA,15.1,Yes,70244
03-07-20,Bangalore,7.5,15.3,0,NA,NA,WSW,67,WSW,37,53,1004.4,NA,12.1,Yes,26162
04-07-20,Bangalore,4.1,16.5,0,NA,NA,W,41,WSW,0,57,1012.6,NA,11.2,Yes,25748
26-05-12,Bangalore,3.1,17,0,NA,NA,WSW,54,WSW,15,50,1014.6,NA,12.3,No,11348
27-05-12,Bangalore,3.7,18.1,0,NA,NA,SSW,30,SSW,4,82,1020.6,NA,12,Yes,15064
28-05-12,Bangalore,6.1,18.4,0,NA,NA,S,22,SE,11,78,1027,NA,12.3,No,73622
29-05-12,Bangalore,8.4,18.4,0,NA,NA,SSW,22,ESE,13,79,1031.9,NA,13.4,No,8367
30-05-12,Bangalore,6.6,19.3,0,NA,NA,SSW,20,WSW,11,91,1035.6,NA,12.2,No,45374
31-05-12,Bangalore,7.7,20.1,0,NA,NA,SW,19,NNE,4,73,1034,NA,13.1,No,67634
01-06-12,Bangalore,9,18.3,0,NA,NA,NNE,13,NNE,4,100,1029.6,NA,11.8,Yes,29490
02-06-12,Bangalore,11.7,16.8,0.6,NA,NA,ENE,13,ESE,7,100,1022.8,NA,13.5,Yes,12860
03-06-12,Bangalore,12.7,15.3,16,NA,NA,WSW,15,SE,6,100,1014.9,NA,13.4,Yes,29449
04-06-12,Bangalore,9.3,19.5,0.2,NA,NA,WSW,30,W,6,100,1004.6,NA,13.9,No,32973
05-06-12,Bangalore,5.6,14.2,0,NA,NA,SSW,52,WSW,2,82,1000.9,NA,10.1,No,4949
06-06-12,Bangalore,9.3,13.7,13.2,NA,NA,SSW,39,SSW,19,80,1017.3,NA,11.9,Yes,29750
07-06-12,Bangalore,6.1,16.9,0.2,NA,NA,SW,26,S,13,72,1023.7,NA,11.2,Yes,33622
08-06-12,Bangalore,1.3,16.9,0.2,NA,NA,SW,15,WNW,2,91,1026.4,NA,7.6,Yes,34648
09-06-12,Bangalore,1.8,17.2,0,NA,NA,WSW,17,E,4,93,1027,NA,7.3,No,24591
10-06-12,Bangalore,4.8,15.8,0.2,NA,NA,WSW,20,W,11,87,1026.3,NA,10.1,Yes,70279
11-06-12,Bangalore,10,13.2,11.6,NA,NA,SSW,20,SW,11,97,1023.2,NA,11.1,Yes,65435
12-06-12,Bangalore,10.3,18.4,30.8,NA,NA,SE,35,SSE,7,91,1021.4,NA,13.2,No,32284
13-06-12,Bangalore,9.3,17.3,4.6,NA,NA,SW,24,ESE,13,85,1021.5,NA,13.2,Yes,54666
14-06-12,Bangalore,8.5,18.2,0.8,NA,NA,NNE,20,NE,4,100,1019.7,NA,11.7,Yes,65
15-06-12,Bangalore,6.7,20.4,0,NA,NA,NNE,15,NE,4,100,1016.9,NA,10,No,71270
16-06-12,Bangalore,5.8,11.9,0.2,NA,NA,WNW,20,S,4,99,1018,NA,9.1,No,26311
17-06-12,Bangalore,4.9,17.2,6.8,NA,NA,W,52,W,9,79,1019,NA,11.1,Yes,55537
18-06-12,Bangalore,2.8,17.8,0,NA,NA,WSW,24,WSW,6,83,1022.4,NA,10.2,No,41421
19-06-12,Bangalore,2.2,18.4,0,NA,NA,W,46,WSW,4,85,1020.2,NA,9,No,45416
20-06-12,Bangalore,1.4,15.8,0,NA,NA,N,13,NNE,4,99,1023,NA,6.5,No,18401
21-06-12,Bangalore,0.3,17.4,0,NA,NA,NNE,26,NNE,0,99,1016.5,NA,4.4,Yes,8529
22-06-12,Bangalore,4.3,16.2,0,NA,NA,WNW,57,NW,19,50,1006.7,NA,15.9,Yes,72394
23-06-12,Bangalore,2.2,16.1,0,NA,NA,WSW,30,SW,2,80,1022.2,NA,9.2,No,52481
24-06-12,Bangalore,0.4,17.4,0,NA,NA,W,28,SSW,4,84,1028.7,NA,6.2,Yes,13751
25-06-12,Bangalore,-0.3,18.8,0,NA,NA,SW,31,WSW,2,92,1028,NA,7.2,Yes,66535
26-06-12,Bangalore,4.4,13.3,0,NA,NA,SSW,20,SSW,7,90,1031.2,NA,10.4,Yes,72408
27-06-12,Bangalore,6.4,16.1,0.8,NA,NA,ESE,17,ESE,9,89,1032.2,NA,11.2,Yes,68338
28-06-12,Bangalore,5.6,17.4,0,NA,NA,S,15,NA,9,94,1026.4,NA,9.5,Yes,18746
29-06-12,Bangalore,7.6,19.8,0,NA,NA,NE,13,N,0,100,1016,NA,11,No,72968
30-06-12,Bangalore,2.3,18.7,0,NA,NA,WSW,22,WNW,0,100,1014,NA,8,Yes,9305
01-07-12,Bangalore,2.8,15.6,0,NA,NA,W,41,WSW,0,96,1016.3,NA,7.2,Yes,63294
02-07-12,Bangalore,-0.2,15.3,0,NA,NA,WSW,43,WSW,7,85,1016.6,NA,7.1,Yes,10033
03-07-12,Bangalore,1,15.5,0,NA,NA,SW,31,WSW,0,78,1020.9,NA,8.2,Yes,29994
04-07-12,Bangalore,4.6,15.8,0,NA,NA,SSW,39,S,22,61,1025.1,NA,10.1,Yes,40277
05-07-12,Bangalore,5.5,15.3,0,NA,NA,SSW,39,SSW,20,63,1031.8,NA,11,Yes,62311
06-07-12,Bangalore,8.1,16.1,1.2,NA,NA,SSW,30,SSW,17,75,1033.8,NA,11,No,4220
07-07-12,Bangalore,4.3,16.8,0,NA,NA,SSW,19,ESE,11,75,1032.9,NA,10.6,No,72212
08-07-12,Bangalore,5.9,18.2,0,NA,NA,NE,19,N,4,97,1031.5,NA,9.4,Yes,70561
09-07-12,Bangalore,2.1,17.7,0,NA,NA,N,20,NNE,0,100,1030.6,NA,8.3,Yes,4412
10-07-12,Bangalore,3.3,13.8,0,NA,NA,NE,9,NA,4,100,1026.9,NA,6.8,No,70011
11-07-12,Bangalore,6.7,19.6,8,NA,NA,WNW,31,NW,9,83,1019.8,NA,13.5,No,44572
12-07-12,Bangalore,6.3,13.6,0.2,NA,NA,N,20,NNE,0,95,1018.2,NA,9.8,Yes,77588
13-07-12,Bangalore,7.3,21.9,2,NA,NA,NNE,28,NNE,6,100,1011.8,NA,11.3,Yes,62813
14-07-12,Bangalore,4.5,18.9,0,NA,NA,WNW,41,WNW,4,87,1013.3,NA,11.1,Yes,20926
15-07-12,Bangalore,2.4,17.3,0,NA,NA,WSW,41,WSW,0,70,1017.2,NA,10,No,28151
16-07-12,Bangalore,2.8,20,0,NA,NA,W,20,SE,7,78,1027.8,NA,8.6,No,28756
17-07-12,Bangalore,1.4,19.9,0,NA,NA,W,22,ENE,0,100,1026.5,NA,8.2,Yes,49641
